"","total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
"48",14872.2972204873,"F",16,"adult","yes",3931,0.23,0.06,92.45,986.803904,0.342778487144927,10.1144,493.601021488695,5.8104,4992.47817174526,0.597221512855073,853.948978511305,4961.78514474208
"49",17363.82563823,"M",16,"adult","no",0,0.13,0.24,345.6,5724.79488,0.425277630787913,12.7194,612.399788334594,7.9866,7789.35786774304,0.334722369212088,482.000211665406,3849.54289048693
"50",12001.0484284979,"F",17,"adult","no",0,0.2,0.09,125.28,1348.6392,0.485370928887646,10.1191,698.93413759821,5.8131,7072.58443177004,0.424629071112354,615.78586240179,3579.62479672785
"51",14878.5769649388,"F",17,"adult","yes",3931,0.2,0.06,92.45,987.262456,0.342976145033216,10.1191,493.885648847831,5.8131,4997.67826925609,0.597023854966784,853.664351152169,4962.43623968267
"52",17363.78563823,"M",17,"adult","no",0,0.09,0.24,345.6,5724.79488,0.425277630787913,12.7194,612.399788334594,7.9866,7789.35786774304,0.334722369212088,482.000211665406,3849.54289048693
"53",12008.4589344324,"F",18,"adult","no",0,0.17,0.09,125.28,1349.2656,0.485671805431825,10.1238,699.367399821828,5.8158,7080.25568231622,0.424328194568175,615.352600178172,3578.76765211622
"54",14884.8581223444,"F",18,"adult","yes",3931,0.17,0.06,92.45,987.721008,0.343173847161678,10.1238,494.170339912816,5.8158,5002.88168720936,0.596826152838322,853.379660087184,4963.08542713505
"55",17363.75563823,"M",18,"adult","no",0,0.06,0.24,345.6,5724.79488,0.425277630787913,12.7194,612.399788334594,7.9866,7789.35786774304,0.334722369212088,482.000211665406,3849.54289048693
"56",12008.4335058054,"F",19,"adult","no",0,0.144571373,0.09,125.28,1349.2656,0.485671805431825,10.1238,699.367399821828,5.8158,7080.25568231622,0.424328194568175,615.352600178172,3578.76765211622
"57",14884.8326937174,"F",19,"adult","yes",3931,0.144571373,0.06,92.45,987.721008,0.343173847161678,10.1238,494.170339912816,5.8158,5002.88168720936,0.596826152838322,853.379660087184,4963.08542713505
"58",17370.7823617983,"M",19,"adult","no",0,0.04,0.24,345.6,5726.73024,0.425450221575403,12.7237,612.648319068581,7.9893,7795.1534173329,0.334549778424597,481.751680931419,3848.85870446539
